consumer_id,recommender_id,cycle,satisfaction_score,rec_state,controlled
579,popular_1_exp_Experiment_1_seed_42,1,0.05377195847256941,connected,mainstream
596,popular_1_exp_Experiment_1_seed_42,1,0.05427149296237601,connected,mainstream
500,popular_1_exp_Experiment_1_seed_42,1,0.052364853512640586,connected,mainstream
546,popular_1_exp_Experiment_1_seed_42,1,0.06326813542992364,connected,mainstream
462,popular_1_exp_Experiment_1_seed_42,1,0.05014490946011591,connected,mainstream
332,popular_1_exp_Experiment_1_seed_42,1,0.05703624685972249,connected,mainstream
259,popular_1_exp_Experiment_1_seed_42,1,0.05500675751779688,connected,mainstream
142,popular_1_exp_Experiment_1_seed_42,1,0.05260222497496137,connected,mainstream
227,popular_1_exp_Experiment_1_seed_42,1,0.05008127923949826,connected,mainstream
468,popular_1_exp_Experiment_1_seed_42,1,0.056852634564434366,connected,mainstream
566,popular_1_exp_Experiment_1_seed_42,1,0.05253101844147867,connected,mainstream
312,popular_1_exp_Experiment_1_seed_42,1,0.05575022633922414,connected,mainstream
12,popular_1_exp_Experiment_1_seed_42,1,0.017637260780218395,connected,niche
14,popular_1_exp_Experiment_1_seed_42,1,0.016958186054727768,connected,niche
525,popular_1_exp_Experiment_1_seed_42,1,0.0575481490760863,connected,mainstream
314,popular_1_exp_Experiment_1_seed_42,1,0.06349037019009217,connected,mainstream
143,popular_1_exp_Experiment_1_seed_42,1,0.05605940975594465,connected,mainstream
187,popular_1_exp_Experiment_1_seed_42,1,0.04497708039932935,connected,mainstream
319,popular_1_exp_Experiment_1_seed_42,1,0.05221466421323706,connected,mainstream
37,popular_1_exp_Experiment_1_seed_42,1,0.023411806521765045,connected,niche
520,popular_1_exp_Experiment_1_seed_42,1,0.05659726927081199,connected,mainstream
471,popular_1_exp_Experiment_1_seed_42,1,0.049728980426601725,connected,mainstream
599,popular_1_exp_Experiment_1_seed_42,1,0.060383124860036996,connected,mainstream
506,popular_1_exp_Experiment_1_seed_42,1,0.06842975736250634,connected,mainstream
255,popular_1_exp_Experiment_1_seed_42,1,0.05688935960658283,connected,mainstream
353,popular_1_exp_Experiment_1_seed_42,1,0.06295143563222001,connected,mainstream
235,popular_1_exp_Experiment_1_seed_42,1,0.05128544620595418,connected,mainstream
545,popular_1_exp_Experiment_1_seed_42,1,0.07974978095360834,connected,mainstream
264,popular_1_exp_Experiment_1_seed_42,1,0.05031123716188788,connected,mainstream
441,popular_1_exp_Experiment_1_seed_42,1,0.05699330339536188,connected,mainstream
